ablation,PSNR,SSIM,LPIPS,scene_count,Curasao_PSNR,Curasao_SSIM,Curasao_LPIPS,IUI3-RedSea_PSNR,IUI3-RedSea_SSIM,IUI3-RedSea_LPIPS,JapaneseGradens-RedSea_PSNR,JapaneseGradens-RedSea_SSIM,JapaneseGradens-RedSea_LPIPS,Panama_PSNR,Panama_SSIM,Panama_LPIPS
360_wo,26.561153,0.868936,0.174867,4,27.790624,0.898018,0.163829,27.752468,0.836678,0.245315,22.683570,0.839120,0.172820,28.017951,0.901930,0.117504
3DGS,26.557628,0.861954,0.211718,4,29.805915,0.887170,0.219670,25.600137,0.839695,0.257195,21.719400,0.836901,0.193667,29.105061,0.884050,0.176339
Mipsplatting,26.450114,0.862974,0.210933,4,30.156225,0.895032,0.213289,24.939263,0.833238,0.260781,21.477299,0.839433,0.188926,29.227667,0.884194,0.180735
all,29.216499,0.900777,0.126323,4,31.928933,0.925350,0.118698,29.067207,0.857225,0.188794,24.084999,0.882512,0.121278,31.784859,0.938019,0.076521
depth_wo,28.695649,0.901383,0.123751,4,31.687611,0.930368,0.120036,28.524178,0.854837,0.185371,23.362038,0.882972,0.113566,31.208771,0.937354,0.076031
forward_wo,28.765928,0.898268,0.130361,4,31.637043,0.928683,0.123668,28.459346,0.856532,0.188555,23.130150,0.869125,0.136198,31.837172,0.938732,0.073024
mipnerf,24.925986,0.762845,0.331161,4,25.777051,0.822519,0.281324,26.062725,0.741459,0.362489,21.188694,0.722849,0.366411,26.675476,0.764551,0.314419
original,28.116148,0.894449,0.130459,4,29.329140,0.914302,0.132473,28.257869,0.851002,0.190844,23.748149,0.879554,0.116793,31.129433,0.932939,0.081727
sample_wo,24.996955,0.782133,0.228789,4,29.136344,0.907672,0.148026,16.880883,0.460106,0.495217,22.707742,0.832368,0.180330,31.262851,0.928385,0.091585
seathru,26.459740,0.814018,0.245103,4,30.143404,0.870320,0.213743,25.863398,0.790139,0.291755,22.050715,0.766680,0.249515,27.781443,0.828932,0.225400
